photo_date,exp_start,treatment,colony,polyps,age,length_um,calyx_um
2020-07-21,2020-06-08,DS,J1,2,43,1700.992,480.393
2020-07-21,2020-06-08,DS,J5,1,43,1688.684,705.109
2020-07-21,2020-06-08,DD,K1,4,43,2281.856,599.924
2020-07-21,2020-06-08,DD,K2,5,43,2454.827,691.305
2020-07-21,2020-06-11,SD,L1,6,40,3203.387,633.244
2020-07-21,2020-06-11,SD,L1,3,40,2404.538,789.597
2020-07-21,2020-06-11,SD,L2,4,40,2753.533,829.495
2020-07-21,2020-06-11,SS,M2,3,40,2228.966,680.569
2020-07-21,2020-06-11,SS,M2,4,40,2823.76,703.17
2020-07-21,2020-06-11,SS,M2,5,40,2543.48,
2020-07-21,2020-06-11,SS,N1,4,40,2407.728,731.853
2020-07-21,2020-06-11,SS,N2,4,40,2431.827,713.748
2020-07-21,2020-06-11,SS,N2,3,40,2883.459,
2020-07-21,2020-06-11,SS,N6,7,40,3435.035,774.415
2020-07-21,2020-06-11,SD,O3,4,40,2527.938,826.754
2020-07-21,2020-06-11,SD,O4,4,40,2349.355,745.822
2020-07-21,2020-06-11,SD,O6,3,40,2207.559,641.89
2020-07-21,2020-06-08,DS,Q1,3,43,2564.215,615.149
2020-07-21,2020-06-08,DS,Q3,1,43,2210.826,733.137
2020-07-21,2020-06-11,SS,Z1,5,40,2500.585,713.722
2020-07-21,2020-06-11,SS,Z3,4,40,3064.524,726.591
2020-07-21,2020-06-11,SS,Z5,2,40,1956.634,631.786
2020-07-21,2020-06-11,SS,Z6,7,40,3400.421,694.183
2020-07-23,2020-06-08,DS,J1,1,45,1710.116,471.468
2020-07-23,2020-06-08,DS,J3,1,45,1839.777,677.706
2020-07-23,2020-06-08,DS,J5,1,45,1678.445,597.73
2020-07-23,2020-06-08,DD,K1,5,45,2304.121,695.783
2020-07-23,2020-06-08,DD,K2,4,45,2339.035,565.31
2020-07-23,2020-06-11,SD,L1,6,42,3181.343,627.881
2020-07-23,2020-06-11,SD,L1,3,42,2356.527,626.875
2020-07-23,2020-06-11,SD,L2,4,42,2759.166,687.872
2020-07-23,2020-06-11,SS,M2,5,42,2285.357,733.631
2020-07-23,2020-06-11,SS,N1,1,42,2298.873,711.144
2020-07-23,2020-06-11,SS,N2,3,42,2437.561,666.605
2020-07-23,2020-06-11,SS,N2,4,42,3004.387,787.35
2020-07-23,2020-06-11,SS,N6,7,42,3327.848,839.438
2020-07-23,2020-06-08,DS,Q1,3,45,2568.176,622.333
2020-07-23,2020-06-08,DS,Q3,1,45,1967.124,696.909
2020-07-23,2020-06-11,SS,Z2,5,42,2479.983,
2020-07-23,2020-06-11,SS,Z2,5,42,2393.983,
2020-07-23,2020-06-11,SS,Z3,5,42,2900.224,729.636
2020-07-23,2020-06-11,SS,Z4,3,42,1933.581,582.012
2020-07-23,2020-06-11,SS,Z5,3,42,1968.481,512.264
2020-07-23,2020-06-11,SS,Z6,7,42,3418.756,733.972
2020-08-02,2020-06-08,DS,J1,3,55,1923.935,520.275
2020-08-02,2020-06-08,DS,J5,1,55,2633.865,
2020-08-02,2020-06-08,DD,K1,5,55,2459.281,615.197
2020-08-02,2020-06-08,DD,K2,4,55,2228.775,554.719
2020-08-02,2020-06-11,SD,L1,6,52,3320.437,651.013
2020-08-02,2020-06-11,SD,L1,3,52,2435.99,692.896
2020-08-02,2020-06-11,SD,L2,4,52,2784.681,799.609
2020-08-02,2020-06-11,SS,M2,2,52,2407.743,694.253
2020-08-02,2020-06-11,SS,M2,5,52,2552.519,786.605
2020-08-02,2020-06-11,SS,N1,5,52,2779.419,662.674
2020-08-02,2020-06-11,SS,N2,4,52,2537.846,687.83
2020-08-02,2020-06-11,SS,N2,3,52,2803.036,823.602
2020-08-02,2020-06-11,SS,N6,7,52,3378.689,780.866
2020-08-02,2020-06-11,SD,O3,6,52,2490.038,809.892
2020-08-02,2020-06-11,SD,O4,4,52,2450.186,715.461
2020-08-02,2020-06-11,SD,O6,3,52,2083.804,659.155
2020-08-02,2020-06-08,DS,Q1,3,55,2543.508,627.684
2020-08-02,2020-06-08,DS,Q3,1,55,1976.087,658.674
2020-08-02,2020-06-11,SS,V2,4,52,2340.32,689.332
2020-08-02,2020-06-11,SS,V3,2,52,2090.099,600.179
2020-08-02,2020-06-11,SS,V6,5,52,2687.509,839.456
2020-08-02,2020-06-11,SD,Y2,3,52,2343.409,692.853
2020-08-02,2020-06-11,SD,Y3,3,52,2104.792,655.123
2020-08-02,2020-06-11,SS,Z1,5,52,3145.596,791.657
2020-08-02,2020-06-11,SS,Z2,5,52,2510.645,706.019
2020-08-02,2020-06-11,SS,Z3,4,52,3173.824,643.424
2020-08-02,2020-06-11,SS,Z3,3,52,2497.064,
2020-08-02,2020-06-11,SS,Z4,5,52,3114.938,705.77
2020-08-02,2020-06-11,SS,Z5,3,52,2263.568,
2020-08-02,2020-06-11,SS,Z6,7,52,3432.419,730.204
