photo_date,exp_start,treatment,colony,polyps,length_um,age
02/08/2020,11/06/2020,SS,M2,2,2407.743,52
02/08/2020,11/06/2020,SS,M2,5,2552.519,52
02/08/2020,11/06/2020,SS,N1,5,2779.419,52
02/08/2020,11/06/2020,SS,N2,4,2537.846,52
02/08/2020,11/06/2020,SS,N2,3,2803.036,52
02/08/2020,11/06/2020,SS,N6,7,3378.689,52
02/08/2020,11/06/2020,SD,O3,6,2490.038,52
02/08/2020,11/06/2020,SD,O4,4,2450.186,52
02/08/2020,11/06/2020,SD,O6,3,2083.804,52
02/08/2020,08/06/2020,DS,Q1,3,2543.508,55
02/08/2020,08/06/2020,DS,Q3,1,1976.087,55
02/08/2020,11/06/2020,SS,V2,4,2340.32,52
02/08/2020,11/06/2020,SS,V3,2,2090.099,52
02/08/2020,11/06/2020,SS,V6,5,2687.509,52
02/08/2020,11/06/2020,SD,Y2,3,2343.409,52
02/08/2020,11/06/2020,SD,Y3,3,2104.792,52
02/08/2020,11/06/2020,SS,Z1,5,3145.596,52
02/08/2020,11/06/2020,SS,Z2,5,2510.645,52
02/08/2020,11/06/2020,SS,Z3,4,3173.824,52
02/08/2020,11/06/2020,SS,Z3,3,2497.064,52
02/08/2020,11/06/2020,SS,Z4,5,3114.938,52
02/08/2020,11/06/2020,SS,Z5,3,2263.568,52
02/08/2020,11/06/2020,SS,Z6,7,3432.419,52
